Name,DateOfBirth,DateOfDeath,Type
"Keidel, Karl",1902,1981,personal
"Beckmann, Hannes",1909,1977,personal
"Klopfer, Paul",1876,1967,personal
"Frank, Ellen",1904,1999,personal
"Lange, Annemarie",1907,1976,personal
"Hoff, August",1892,1971,personal
"Sebök, Stefan",1901,1942,personal
"Kunowski, Gertrud von",1877,1960,personal
"Tappolet, Bertha",1897,1947,personal
"Benscheidt, Karl",1888,1975,personal
"Reimann, Friedrich",1912,,personal
"Bahelfer, Moshe",1908,1995,personal
"Flach, Jakob",1894,1982,personal
"Zádor, Istvan",1882,1963,personal
"Golyscheff, Jef",1897,1970,personal
"Wiener, Paul Lester",1895,1967,personal
"Roedl, Urban",1888,1968,personal
"Frahm-Hessler, Franz",1898,1990,personal
"Geist, Hans Friedrich",1901,,personal
"Thun, Hedwig",1892,1969,personal
"Rey, Margret",1906,1996,personal
"Wimmer, Martin",1928,,personal
"Meyer, Erna",1890,1975,personal
"Krämer, Karl Emerich",1918,28.02.1987,personal
"Göhl, Ernst",1907,1944,personal
"Stryi, Gerda",1905,1992,personal
"Mikeleitis, Edith",1905,1964,personal
"Chomton, Werner",1895,1953,personal
"Stasny, Peter",1958,,personal
"Lang, Lothar",1907,1974,personal
"Bunzel, Hermann",1901,1985,personal
"Beust, Hermann",1906,1987,personal
"Hüffner, Fritz C.",1909,1992,personal
"Schäfter, Alfred",1902,1970,personal
"Schenk zu Schweinsberg, Eberhard",1893,1990,personal
"Schwedler, Rolf",1914,1981,personal
"Pechmann, Günther von",1882,1968,personal
"Bauer, Carl",1909,1999,personal
"Netzel, Eugen",1903,1944,personal
"Forberg, Ati",1925,,personal
"Gova, Sabine",1901,2000,personal
"Seelmann-Eggebert, Ulrich",1919,1991,personal
"Abegg, Elisabeth",1896,1944,personal
"Zerndt, Wilhelm",1908,1988,personal
"Hauck, Adele <""Addy"">",1892,1988,personal
"Hauck, Maria",1922,,personal
"Winkelmayer, Elisabeth",1896,1978,personal
"Driesch-Foucar, Lydia",1895,1980,personal
"Letzelter, Franz",1926,,personal
"Jackson, Werner",1904,1984,personal
"Wottitz, Anni",1900,1945,personal
"Kreuzberg, Claus",1912,1980,personal
"Schwoon, Karl",1908,1976,personal
"Kramer, Ferdinand",1901,2001,personal
"Mendelsohn, Heinrich",1881,1959,personal
"Grüß, Ursula",1933,,personal
"Kállai, Erno",1890,1954,personal
"Ziegfeld, Arnold Hillen",1894,1964,personal
"Wilckens, Leonie von",1921,1997,personal
"Wingler, Hans Maria",1920,1984,personal
"Yorck, Ruth",1909,1966,personal
"Herzogenrath, Wulf",1944,,personal
"Räder, Hermann",1915,1984,personal
"Chermayeff, Ivan",1932,,personal
"Abel, Adolf",1882,1968,personal
"László, Alexander",1895,1970,personal
"Pap, Gyula",1899,1983,personal
"Kamnitzer, Peter",1921,1998,personal
"Debschitz, Wilhelm",1871,1948,personal
"Kanow, Ernst",1906,1993,personal
"Wieszner, Georg Gustav",1893,1969,personal
"Passarge, Walter",1898,1958,personal
"Pehnt, Wolfgang",1931,,personal
"Perkins, Dexter",1889,,personal
"Desch, Cecil Henry",1874,1958,personal
"Peschel, Hugo",1905,1980,personal
"Peterich, Eckart",1900,1968,personal
"Beck, Ernst Louis",1908,1957,personal
"Keler, Peter",1898,1982,personal
"Berger, Otti",1898,1944,personal
"Petzet, Wolfgang",1896,1985,personal
"Kerz, Leo",1912,,personal
"Bernson, Bernhard",1888,1963,personal
"Berthold, Johannes",1898,1987,personal
"Bier, Justus",1899,1990,personal
"Dollinger, Hans",1929,,personal
"Philipp, Hans",1884,1968,personal
"Domin, Friedrich",1902,1961,personal
"Blake, Edwin Mortimer",1868,,personal
"Bloesch, Hans",1878,1945,personal
"Plaut, Werner",,1951,personal
"Dreier, Katherine Sophie",1877,1952,personal
"Bockelmann, Werner",1907,,personal
"Drewes, Werner",1899,1985,personal
"Wever, Anne",1899,1968,personal
"Abel, Paul",1874,1971,personal
"Klumpp, Hermann",1902,1987,personal
"Koch, Fritz",1911,1952,personal
"Scholl, Inge",1917,1998,personal
"Köhler, Wilhelm",1884,1959,personal
"Alfieri, Dino",1886,1966,personal
"Allesch, Gustav Johannes von",1882,1967,personal
"Allner, Walter",1909,2006,personal
"Köster, Arthur",1890,1965,personal
"Przygode, Wolf",1895,1926,personal
"Rakette, Egon H.",1909,1991,personal
"Ralfs, Käte",1898,1995,personal
"Ramseger, Georg",1912,1996,personal
"Rath, Ingeborg von",1902,1984,personal
"Arens, Hanns",1901,1983,personal
"Eckstein, Hans",1898,1985,personal
"Häberer, Paul",1902,1978,personal
"Haftmann, Werner",1912,1999,personal
"Galston, Gottfried",1879,1950,personal
"Fahrenkamp, Emil",1885,1966,personal
"Reiss, Hilde",16.09.1909,,personal
"Reitz, Robert",1884,1951,personal
"Brauer, Eduard",1903,1986,personal
"Feininger, Julia",1881,1970,personal
"Bredendieck, Hinrich",1904,1995,personal
"Renner, Otto",1883,1960,personal
"Carlé, Walter",1912,1996,personal
"Gay, Peter",1923,,personal
"Gebhard, Max",1906,1990,personal
"Fichte, Richard Emil",22.07.1896,12.01.1982,personal
"Engemann, Friedrich",1898,1970,personal
