label,parliamentary_group,GND_Kennung,Wikidata_ID
Günter Rexrodt,NA,NA,NA
Hans-Eberhard Urbaniak,SPD,NA,NA
Ernst Schwanhold,SPD,NA,NA
Kurt Rossmanith,CDU,NA,NA
Margareta Wolf,GRUENE,1103834029,Q1894924
Rita Süssmuth,NA,NA,NA
Otto Graf Lambsdorff,FDP,NA,NA
Rolf Kutzmutz,PDS,NA,NA
Paul Krüger,CDU,NA,NA
Rolf Schwanitz,SPD,NA,NA
Christa Luft,PDS,NA,NA
Anke Fuchs,SPD,NA,NA
Heiner Geißler,CDU,NA,NA
Burkhard Hirsch,NA,NA,NA
Friedhelm Ost,CDU,NA,NA
Norbert Blüm,NA,NA,NA
Oswald Metzger,GRUENE,NA,NA
Gisela Babel,FDP,122410262,Q1527266
Ottmar Schreiner,SPD,NA,NA
Hans-Joachim Fuchtel,CDU,NA,NA
Annelie Buntenbach,GRUENE,NA,NA
Konstanze Wegner,SPD,NA,NA
Karl-Josef Laumann,CDU,NA,NA
Ingrid Matthäus-Maier,SPD,NA,NA
Volker Kauder,CDU,NA,NA
Barbara Hendricks,SPD,NA,NA
Leyla Onur,SPD,NA,NA
Hans-Ulrich Klose,NA,NA,NA
Edelgard Bulmahn,SPD,NA,NA
Jürgen Rüttgers,NA,NA,NA
Steffen Kampeter,CDU,NA,NA
Elisabeth Altmann,GRUENE,NA,NA
Franz Thönnes,SPD,NA,NA
Simone Probst,GRUENE,NA,NA
Jürgen Koppelin,FDP,NA,NA
Hans Klein,NA,NA,NA
Günter Rixe,SPD,NA,NA
Gerhard Friedrich,CDU,NA,NA
Jörg Tauss,SPD,NA,NA
Claudia Nolte,NA,NA,NA
Christel Hanewinckel,SPD,NA,NA
Peter Jacoby,CDU,NA,NA
Irmingard Schewe-Gerigk,GRUENE,NA,NA
Sabine Leutheusser-Schnarrenberger,FDP,NA,NA
Maria Eichhorn,CDU,NA,NA
Siegrun Klemmer,SPD,NA,NA
Horst Seehofer,NA,NA,NA
Klaus Kirschner,SPD,NA,NA
Horst Seehofer,CDU,NA,NA
Hubert Hüppe,CDU,NA,NA
Monika Knoche,GRUENE,NA,NA
Marina Steindor,GRUENE,NA,NA
Dieter Thomae,FDP,NA,NA
Editha Limbach,CDU,NA,NA
Waltraud Lehn,SPD,NA,NA
Horst Sielaff,SPD,NA,NA
Bartholomäus Kalb,CDU,NA,NA
Ulrike Höfken,GRUENE,NA,NA
Wolfgang Gröbl,CDU,NA,NA
Günther Maleuda,PDS,NA,NA
Ilse Janz,SPD,NA,NA
Gerhard Schröder,NA,NA,NA
Angela Merkel,CDU,NA,NA
Wolfgang Thierse,NA,NA,NA
Reinhard Höppner,NA,NA,NA
Klaus Kinkel,FDP,NA,NA
Ludger Volmer,GRUENE,NA,NA
Werner Schulz,GRUENE,NA,NA
Gregor Gysi,PDS,NA,NA
Markus Meckel,SPD,NA,NA
Edmund Stoiber,NA,NA,NA
Rolf Schwanitz,NA,NA,NA
Cornelia Pieper,FDP,NA,NA
Erwin Teufel,NA,NA,NA
Rudolf Seiters,NA,NA,NA
Ute Vogt,SPD,NA,NA
Jürgen Trittin,NA,NA,NA
Rainer Brüderle,FDP,NA,NA
Barbara Höll,PDS,NA,NA
Barbara Hendricks,NA,NA,NA
Gerda Hasselfeldt,CDU,NA,NA
Reinhard Loske,GRUENE,NA,NA
Nina Hauer,SPD,NA,NA
Peter Danckert,SPD,NA,NA
Manfred Grund,CDU,NA,NA
Franziska Eichstädt-Bohlig,GRUENE,NA,NA
Günter Nooke,CDU,NA,NA
Steffi Lemke,GRUENE,NA,NA
Christine Ostrowski,PDS,NA,NA
Achim Großmann,NA,NA,NA
Michael Glos,CDU,NA,NA
Guido Westerwelle,FDP,NA,NA
Katrin Göring-Eckardt,GRUENE,NA,NA
Hermann Otto Solms,NA,NA,NA
Franz Müntefering,SPD,NA,NA
Norbert Lammert,NA,NA,NA
